KOMPETANSETYPEAHEAD,KOMPETANSE
Ins,Instrukt%C3%B8rarbeid+-+sv%C3%B8mming
Ins,Instrukt%C3%B8rarbeid+-+tennis
Int,Interesseorganisasjoner+(bransje)
Int,Internett+og+e-post
Irs,Irsk
Isl,Islandsk
Iso,Isolat%C3%B8rfaget+(AMO)
Iso,Isolering
Iso,Isoleringsarbeid
Ita,Italiensk
Jap,Japansk
Jav,Javanesisk
Jaz,Jazz
Jaz,Jazzballett
Jer,Jernbinding
Jer,Jernvarer
Jid,Jiddisch
Job,Jobbklubb
Job,Jobbklubb
Job,Jobbklubb+med+bonusordning
Jor,Jordbruk
Jor,Jordbruk+skogbruk+og+fiske+(bransje)
Jor,Jordb%C3%86rplukking
Jor,Jordingssystemer
Jou,Journalistikk
Jou,Journalistikk+-+generelt
Jou,Journalskriving
Jur,Juridisk+arbeid
Jus,Jus
KON,KONVERTERT
KON,KONVERTERT
KON,KONVERTERT+ANNEN
Med,Medier+og+kommunikasjon+andre+(AMO)
Med,Medisinsk+arbeid
Med,Medisinsk+arbeid+-+generelt
Med,Medisinske+elektroniske+systemer
Mei,Meieriarbeid
Mek,Mekanisk+arbeid
Mek,Mekanisk+arbeid+generelt
Mek,Mekaniske+fag+(AMO)
Mek,Mekaniske+fag+andre+(AMO)
Mek,Mekaniske+prosessfag+(AMO)
Mel,Mellomfag+(30+vekttall)
Men,Mende
Mes,Mest+brukte+europeiske+spr%C3%A5k
Mes,Mesterbrev
Met,Metallforming
Met,Metallurgi
Met,Metallvarearbeid
Met,Meteorologi
Mic,Microsoft+80
Mik,Mikrobiologi
Mik,Mikroprosessorer
Mik,Mikroprosessorteknikk
Mil,Milit%C3%86re+fag
Mil,Milj%C3%B8+og+vedlikehold+(AMO)
Mil,Milj%C3%B8rettet+helsevern
Mil,Milj%C3%B8vern
Mil,Milj%C3%B8vern+mm
Min,Mina
Min,Mineralarbeid
Min,Minigraver
Mis,Misjonsarbeid
Mob,Mobilkran
Mob,Mobiltelekommunikasjon
Mod,Modellsnekring
Mod,Modul+0+L%C3%86remateriell
Mod,Modul+0+L%C3%86remateriell
Mod,Modul+1
Mod,Modul+1
Mod,Modul+1++4+uker
Mod,Modul+1+-+Programvare+m%C3%A5l+1+og+3+-+4+uker
Mod,Modul+1+Norsk+15+uker
Mod,Modul+1+Norsk+4+uker
Mod,Modul+1+Reiseliv+-+teori
Mod,Modul+1+Salg%2Fservice+-+teori
Mod,Modul+1+2+uker-+etikk+og+kommunikasjon
Mod,Modul+1+2+uker-+etikk+kommunikasjon+og+arbeidsmilj%C3%B8
Mod,Modul+1+3+uker-+salg+og+service
Mod,Modul+1+3+uker-+salg+og+service+vk1
Mod,Modul+1+3+uker-+salg+service+og+sikkerhet
Mod,Modul+1+3+uker-+salg+service+og+sikkerhet+gk
Mod,Modul+1+6+uker+-+Kost+og+ern%C3%86ring
Mod,Modul+1+6+uker-+humanbiologi
Mod,Modul+1+7+dager+-+grunnleggende+IT+forst%C3%A5else
Mod,Modul+2
Mod,Modul+2
Mod,Modul+2++22+uker
Mod,Modul+2++Salg%2Fservice+-+praksis
Mod,Modul+2+-+Programvare+m%C3%A5l+2+og+4+-+4+uker
Mod,Modul+2+Engelsk+6+uker
Mod,Modul+2+Reiseliv+-+praksis
Mod,Modul+2+Samfunnsfag+4+uker
Mod,Modul+2+2+uker-+hygiene
Mod,Modul+2+3+uker+-+Bomilj%C3%B8
Mod,Modul+2+3+uker-+arbeidsmilj%C3%B8+og+hygiene
Mod,Modul+2+3+uker-+salg+og+service
Mod,Modul+2+3+uker-+salg+og+service+vk1
Mod,Modul+2+3+uker-+salg+service+og+sikkerhet
Mod,Modul+2+3+uker-+salg+service+og+sikkerhet+gk
Mod,Modul+2+4+uker-+forebyggende+helsearbeid
Mod,Modul+2+8+dager+-+operativsystemer
Mod,Modul+3+-+Maskinvare+alle+m%C3%A5l+-+4+uker
Mod,Modul+3+Kropps%C3%B8ving+1+uke
Mod,Modul+3+Matematikk+10+uker
Mod,Modul+3+10+uker-+grunnleggende+sykepleieoppgaver
Mod,Modul+3+2+uker-+administrasjon
Mod,Modul+3+2+uker-+administrasjon+gk
Mod,Modul+3+2+uker-+sikkerhet
Mod,Modul+3+4+uker-+grunnleggende+sykepleieoppgaver
Mod,Modul+3+4+uker-+kost+og+ern%C3%86ringsl%C3%86re
Mod,Modul+3+6+uker+-+Hygiene
Mod,Modul+3+7+dager+-+tekstbehandling
Mod,Modul+4+-+Nettverk+m%C3%A5l+1+-+5+uker
Mod,Modul+4+Engelsk+6+uker
Mod,Modul+4+Naturfag+6+uker
Mod,Modul+4+2+uker-+administrasjon
Mod,Modul+4+2+uker-+administrasjon+gk
Mod,Modul+4+2+uker-+hygiene
Mod,Modul+4+2+uker-+kultur+kommunikasjon+og+teknologi
Mod,Modul+4+3+uker-+psykisk+helsevern
Mod,Modul+4+6+uker+-+Helsel%C3%86re
Mod,Modul+4+6+uker-+sykdomsl%C3%86re
Mod,Modul+4+7+dager+-+regneark
Mod,Modul+5+-+Nettverk+m%C3%A5l+2+-+3+uker
Mod,Modul+5+Historie+6+uker
Mod,Modul+5+Naturfag+2+uker
Mod,Modul+5+1+uke-+f%C3%B8rstehjelp
Mod,Modul+5+2+uker-+kultur+kommunikasjon+og+teknologi
Mod,Modul+5+2+uker-+spebarn+og+barselpleie
Mod,Modul+5+3+uker-+funksjonshemming
Mod,Modul+5+3+uker-+%C3%B8konomi
Mod,Modul+5+3+uker-+%C3%B8konomi+gk
Mod,Modul+5+4+uker+-+Famile%C3%B8konomi+og+Sosiale+tjenster
Mod,Modul+5+7+dager+-+database
Mod,Modul+6+-+Kommunikasjon+m%C3%A5l+1+og+2+-+2+uker
Mod,Modul+6+Matematikk+6+uker
Mod,Modul+6+Samfunnsfag+4+uker
Mod,Modul+6+2+uker-+funksjonshemming+og+sosialkunnskap
Mod,Modul+6+2+uker-+sosialkunnskap
Mod,Modul+6+4+uker+-+Kommunikasjon
Mod,Modul+6+4+uker-+bedriftsetablering
Mod,Modul+6+4+uker-+kultur+kommunikasjon+og+teknologi
Mod,Modul+6+4+uker-+sosialfag
Mod,Modul+6+7+dager+-+presentasjon
Mod,Modul+7+-+Kommunikasjon+m%C3%A5l+3+-+2+uker
Mod,Modul+7+2+uker-+psykologi
Mod,Modul+7+4+uker-+egen+bedrift
Mod,Modul+7+4+uker-+sykehuspraksis
Mod,Modul+7+6+uker-+sykehjem+eller+boform+for+held%C3%B8gnsomsorg+og+pleie
Mod,Modul+7+7+dager+-+internett
Mod,Modul+7+7+uker+-+Eldre+og+funksjonshemmede
Mod,Modul+8+5+uker-+prosjektarbeid
Mod,Modul+8+6+uker-+dag-+og+aktivitetssentre+for+eldre+og+funksjonshemmede
Mod,Modul+8+6+uker-+%C3%A5pen+omsorg%2F+hjemmesykepleie
Mod,Modul+9+4+uker-+valgfri+praksis
Mol,Moldavisk
Mon,Mongolsk
Mor,Mordvinsk
Mor,More
Mou,Mouse
Moz,Mozabitisk%2FMzabi
Mur,Murer+(AMO)
Mur,Murerarbeid
Mur,Murerarbeid+mm
Mus,Museumsarbeid
Mus,Museumsarbeid+-+generelt
Mus,Musikk
Mus,Musikk+(AMO)
Mus,Musikk+diverse
Mus,Musikk+dans+og+drama+(AMO)
Mus,Musikk+dans+og+drama+andre+(AMO)
M%C3%B8b,M%C3%B8belindustri+(bransje)
M%C3%B8b,M%C3%B8belsnekring
M%C3%B8b,M%C3%B8beltapetserfag+(AMO)
M%C3%B8b,M%C3%B8beltapetsering
M%C3%B8b,M%C3%B8bler
M%C3%B8r,M%C3%B8rkeromsarbeid
NDT,NDT-kontroll
Nam,Nama
Nan,Nandi%2FNandikipsigis
Nat,Naturbruk++andre+(AMO)
Nat,Naturbruk+(AMO)
Nat,Naturfotografering
Nat,Naturmedisin
Nat,Naturmedisin+generelt
Nat,Naturprodukter
Nau,Nauhatl%2FAztekisk
Nau,Nauru%2FNauruansk
Nav,Navajo%2FNavaho
Nde,Ndebele
Ned,Nederlandsk
Neg,Neglebehandling
Nep,Nepali%2FGurkhal
Net,Nettbasert+jobbklubb
Net,Nettbasert+jobbs%C3%B8kerkurs
Net,Nettbaserte+kurs
Net,Nettbaserte+kurs+(AMO)
Net,Nettverksarbeid
Net,Nettverksarbeid+generelt
Net,Nettverkskommunikasjon
Niv,Nivellering
Niz,Nizma
Nor,Nordiske+spr%C3%A5k
Nor,Norsk
Nya,Nyamwezi%2FKinyamwezi
Nya,Nyanja%2FChewa%2FKichew
Nyh,Nyhetsjournalistikk
Nyn,Nynorsk
N%C3%86r,N%C3%86rings-+og+nytelsesmiddelindustri+(bransje)
N%C3%86r,N%C3%86ringslivsjournalistikk
N%C3%86r,N%C3%86ringsmiddel
N%C3%86r,N%C3%86ringsmiddelarbeid
N%C3%86r,N%C3%86ringsmiddelarbeid+generelt
Obj,Objektorientert+analyse
Obj,Objektorientert+systemutvikling
Occ,Occitansk
Off,Offentlig+forvaltning+(bransje)
Off,Offentlig+helsearbeid
Off,Offshore+erfaring
Off,Offshorekran
Off,Offshorerelatert+arbeid
Off,Offshoreteknologi
Off,Offshoreteknologi+generelt
Olj,Olje
Olj,Oljebransjen
Olj,Oljeleting
Olj,Oljeplattform
Olj,Oljeproduksjon
Olj,Oljevernberedskap
Omb,Ombygging
Oms,Omsetning+og+drift+av+fast+eiendom+(bransje)
Oms,Omsorgsfag+(AMO)
Opp,Oppdrettsn%C3%86ring
Opp,Oppm%C3%A5ling
Opp,Oppn%C3%A5dd+ved+h%C3%B8yere+utdanning
Opp,Oppn%C3%A5dd+ved+videreg%C3%A5ende+utdanning
Ord,Ordensvakttjeneste
Org,Organisasjonsledelse
Org,Organisasjonsutvikling
Ori,Oriya
Ork,Orkester
Orm,Ormen
Oro,Oromisk
Ort,Ortopedisk+fott%C3%B8y+(AMO)
Ote,Otetele
Ova,Ovambo%2FKwanyama
Ove,Overflatebehandling+(AMO)
Ove,Overnattings-+og+serveringsvirksomhet+(bransje)
Ove,Oversettelse
Ove,Oversetting+og+tolking
Ove,Oversetting+og+tolking+generelt
PLS,PLS
PLS,PLS-programmering
Pan,Pantomime
Pap,Papir+og+kartonasje
Par,Parabolantenner
Par,Parfymeri
Pas,Pasientrettet+arbeid
Pas,Pasjto
Pat,Patani
Ped,Pedagogisk+arbeid
Pel,Pelsberedning
Pel,Pelsrens
Per,Personalansvar
Per,Personalarbeid
Per,Personalarbeid+generelt
Per,Personalledelse
Pet,Petrokjemisk+industri
Pet,Petroleumsleting
Pet,Petroleumsteknologi
Pia,Pianostemming+og+pianoteknikk+(AMO)
Pla,Plastfag+(AMO)
Pla,Plastforming
Pla,Plate-+og+sveisefag+(AMO)
Pla,Platearbeid
Ple,Pleie+og+omsorg
Ple,Pleie+og+omsorgsarbeid
Pol,Polaritetsterapi
Pol,Poliklinisk+arbeid
Pol,Politiarbeid
Pol,Politiarbeid+-+generelt
Pol,Politikk+og+offentlig+forvaltning
Pol,Politisk+arbeid
Pol,Politisk+journalistikk
Pol,Polsk
Por,Porselensproduksjon+-+generelt
Por,Portalkran
Por,Portrettfotografering
Por,Portugisisk
Por,Portugisisk+(Brasil)
Pos,Postarbeid
Pot,Potetplukking
Pot,Pottemakerarbeid
Pow,Powerpoint
Pre,Preparering
Pre,Presentasjon
Pri,Prim%C3%86rhelsetjeneste
Pro,Programmering
Pro,Programmering+generelt
Pro,Programvareutvikling
Pro,Prosjektarbeid
Pro,Prosjektledelse
Pro,Protese-+og+ortosemakerfaget+(AMO)
Psy,Psykisk+helsevern
Psy,Psykologisk+arbeid
Pub,Publikumsbehandling
Pun,Punjabi
Que,Quechua
Qui,Quich%C3%A9
Rad,Radarsystemer
Rad,Radio%2FTV
Rad,Radio%2FTV+-arbeid+generelt
Rad,Radiokommunikasjonssystemer
Rea,Realfag+og+teknikk
Reg,Regionplanlegging
Reg,Regneark
Reg,Regnskap
Reg,Regnskapsarbeid
Reg,Reguleringssystemer
Rei,Reindrift+(AMO)
Rei,Reiseliv
Rei,Reiseliv+-+generelt
Rei,Reiselivsmedarbeider
Rei,Reisning+av+master
Rek,Rekefiske
Rek,Reklame+markedsf%C3%B8ring+grafisk+produksjon+(bransje)
Rek,Rekruttering
Rel,Relevern
Rel,Religion
Rel,Religi%C3%B8st+arbeid
Rel,Religi%C3%B8st+arbeid+-+generelt
Ren,Renhold
Ren,Renhold+generelt
Ren,Renovasjon
Ren,Renovasjon+generelt
Ren,Renteberegning
Res,Resepsjonsarbeid
Res,Resepsjonsarbeid+-+generelt
Res,Reservedelsfaget+for+kj%C3%B8ret%C3%B8y+(AMO)
Res,Reservoarfysikk
Res,Reservoarsimulering
Res,Reservoarteknologi
Res,Restaurering
Ret,Retoromansk
Ret,Rettsjournalistikk
Rev,Revisjon
Rig,Riggarbeid
Rig,Rigging
Rin,Ringnot
Roc,Rock
Rom,Romani%2FRomanes
Rum,Rumensk
Rus,Ruser
Rus,Rusinsk
Rus,Rusmiddelarbeid
Rus,Russisk
Rus,Rustbehandling
Ryd,Rydding
R%C3%A5d,R%C3%A5dgivning
R%C3%B8k,R%C3%B8kting
R%C3%B8r,R%C3%B8rfag+(AMO)
R%C3%B8r,R%C3%B8rlegging
SAP,SAP
Sak,Saksbehandling
Sal,Salg
Sal,Salg+og+service+m.m.(AMO)
Sal,Salg+og+servicemedarbeider
Sal,Salmakerarbeid
Sam,Samferdsel
Sam,Samfunnsfag
Sam,Samfunnsgeografi
Sam,Samisk
Sam,Samoansk
San,Sandbl%C3%A5sing
San,Sango
San,Sanskrit
San,Santali
Sar,Sarakolle
Sar,Sardisk%2FSardinsk
Sce,Scenedekorering
Sce,Scenerigger
Sei,Seismologiske+metoder
Sel,Selfangst
Sel,Selskapsmat
Sem,Sementproduksjon
Sem,Semesteremne+(10+vekttall)
Sen,Sentralbord
Sen,Senufo
Ser,Serbisk
Ser,Serbokroatisk
Ser,Servering
Ser,Servering+-+bar
Ser,Servering+-+generelt
Ser,Servering+-+kaffebar
Ser,Servering+-+kafè
Ser,Servering+-+kantine
Ser,Servering+-+kro
Ser,Servering+-+pub
Ser,Servicearbeid
Ser,Servit%C3%B8rfag++(AMO)
Ses,Sesotho%2FSesuto%2FSoth
Set,Seterdrift
Set,Setswana%2FTswana
Sha,Shawi%2FShawe
Sha,Shawiya
Sho,Shona
Sik,Sikkerhetsarbeid
Sim,Simultantolking
Sin,Sindebele
Sin,Sindhi
Sin,Singalesisk%2FSinhala
Sis,Siswati
Siv,Sivilagronom
Siv,Sivilarkitekt
Siv,Sivilforsvaret
Siv,Sivilingeni%C3%B8r
Siv,Sivilmarkedsf%C3%B8rer
Siv,Sivil%C3%B8konom
Sja,Sjauing
Sje,Sjelesorg
Sji,Sjilkisk%2FSjluh
Sj%C3%B8,Sj%C3%B8fart
Sj%C3%B8,Sj%C3%B8fart+generelt
Sj%C3%B8,Sj%C3%B8fartsfag+(AMO)
Sj%C3%B8,Sj%C3%B8forsvaret
Ski,Skiferarbeid
Ski,Skinn+-+og+l%C3%86rarbeid
Ski,Skinn+-+og+l%C3%86rarbeid+generelt
Ski,Skipsbygging+(AMO)
Ski,Skipselektronikk
Ski,Skipsinstallasjoner
Ski,Skipsmegling
Ski,Skipsteknisk+drift+(AMO)
Sko,Skobutikk
Sko,Skogbruk
Sko,Skogbruk+(AMO)
Sko,Skogsarbeid
Sko,Skogsarbeid+-+generelt
Sko,Skomakerarbeid
Sko,Skomakerfaget+(AMO)
Sko,Skotsk
Skr,Skrifthogging
Sku,Skurtresking
Sla,Slambehandling
Sla,Slankekurs
Slo,Slovakisk
Slo,Slovensk
Sl%C3%B8,Sl%C3%B8ying
Sne,Snekkerarbeid
Sne,Snekkerarbeid+-+generelt
Sne,Snekkerfag+(AMO)
Snu,Snurrevad
Sn%C3%B8,Sn%C3%B8hvit
Sol,Solist
Sol,Solstudio
Som,Somalisk
Son,Sonar
Son,Soneterapi
Son,Songhai-Djerma
Sor,Sorani%2FKurdisk-Syd
Sor,Sorbisk
Sos,Sosial+journalistikk
Sos,Sosialantropologi
Sos,Sosialfag
Sos,Sosialt+arbeid
Sos,Sosialt+arbeid+-+generelt
Sos,Sosiologi
Sou,Soul
Spa,Spansk
Spe,Spekevareproduksjon
Spe,Spesialspr%C3%A5k%2Ftegn
Spo,Sportsjournalistikk
Spr,Spr%C3%A5k
Spr,Spr%C3%B8ytelakkering
Spr,Spr%C3%B8ytemaling
Spr,Spr%C3%B8ytest%C3%B8p
Sra,Sranan%2FTaki-Taki
Sta,Standarddans
Sta,Statistikk
Sta,Statistikk+mm
Sta,Statsvitenskap
Ste,Steinarbeid
Ste,Steinarbeid+-+generelt
Ste,Steinfag+(AMO)
Ste,Steinhoggeri
Ste,Stenografi
Ste,Stepp
Ste,Sterkstr%C3%B8m
Sti,Stikking
Sti,Stillasbygger+(AMO)
Sti,Stillasbygging
Sto,Storfag+(40+vekttall)
Sto,Storkj%C3%B8kkenmat
Str,Strekkemaskin
Str,Strikkemaskin
Str,Str%C3%B8mforsyningsanlegg
Stu,Studiekompetanse
St%C3%A5,St%C3%A5l+og+metallproduksjon
St%C3%B8,St%C3%B8ping
St%C3%B8,St%C3%B8ttemurer
Sus,Susu
Sva,Svakstr%C3%B8m
Sve,Sveising
Sve,Sveising+generelt
Sve,Svensk
Svi,Svingkran
Swa,Swahili
Swa,Swazi%2FIsiswazi%2FSwat
Swi,Swing
Syk,Sykepleie
Syk,Sykepleie+generelt
Syr,Syrisk%2FAssyrisk
Sys,Systemutvikling
Sys,Systemutvikling+generelt
S%C3%B8m,S%C3%B8m+(AMO)
S%C3%B8m,S%C3%B8mteknikker
TIG,TIG-sveising
TV-,TV-produksjon
Tad,Tadzjikisk
Tah,Tahitisk
Tak,Taksidermist+(AMO)
Tak,Taktekkerfaget+(AMO)
Tak,Taktekking
Tam,Tamashak%2FTuareg
Tam,Tamezighi%2FTamazight
Tam,Tamil%2FTamilsk
Tan,Tannhelse
Tap,Tapetsering
Tar,Tarifforhandlinger
Tas,Tasjilhait%2FChlech
Tat,Tatarisk
Tav,Tavlemontering
Tea,Teater
Tea,Teaterdekorasjoner
Teg,Tegning+form+og+farge
Teg,Tegning%2Fform%2Ffarge+(AMO)
Teg,Tegnspr%C3%A5k+for+d%C3%B8ve
Teg,Tegnspr%C3%A5ktolking
Tek,Teknisk+fagarbeid
Tek,Teknisk+fagskole+(AMO)
Tek,Teknisk+kybernetikk
Tek,Teknisk+museum
Tek,Teknisk+tegning
Tek,Teknisk+tegning+(AMO)
Tek,Tekniske+byggfag+(AMO)
Tek,Tekniske+byggfag+andre+(AMO)
Tek,Tekstbehandling
Tek,Tekstilarbeid
Tek,Tekstilarbeid+-+generelt
Tek,Tekstilfarging
Tek,Tekstilrenholdsfaget+(AMO)
Tek,Tekstils%C3%B8m
Tel,Telefonsystemer
Tel,Telekommunikasjon
Tel,Telekommunikasjonsanlegg
Tel,Telugu
Tem,Temne
Teo,Teochew%2FTeochiu
Ter,Terazzo
Ter,Terminalarbeid
Ter,Termisk+isolering
Tha,Thailandsk
Tib,Tibetansk
Tig,Tigre
Tig,Tigrinja%2FTigrinsk
Til,Tilkomstteknikk
Tje,Tjerkessisk%2FKabardi
Tju,Tjuvasjisk
Tok,Tok+Pisin
Tol,Tolking
Tol,Toll
Ton,Tonga%2FTongansk
Tor,Torsketungeskj%C3%86ring
Tor,Torvtak
Tra,Trafikkplanlegging
Tra,Traktorgraver
Tra,Transformatorer
Tra,Transport+og+lagring+(bransje)
Tra,Transportfag+(AMO)
Tra,Transportmaskiner
Tra,Trappesnekring
Tra,Traverskran
Tre,Trearbeidsfag+(AMO)
Tre,Trearbeidsfag+andre+(AMO)
Tre,Treb%C3%A5tbyggerfag+(AMO)
Tre,Tredreierfaget+(AMO)
Tre,Trelast+og+treforedling
Tre,Trelastfag+(AMO)
Tre,Trenerarbeid
Tre,Treskj%C3%86rerfag+(AMO)
Tre,Treskj%C3%86ring
Tre,Treskj%C3%86ring+generelt
Tru,Truck-%2Flagerkurs+(AMO)
Try,Trykkluftmaskiner
Tr%C3%A5,Tr%C3%A5lfiske
Tsh,Tshiluba
Tsj,Tsjekkisk
Tsj,Tsjetsjensk
Tun,Tunnelbygging
Tur,Turabdinsk
Tur,Turbiner
Tur,Turkana%2FTeso-Turkan
Tur,Turkmensk
Twi,Twi
Tyn,Tynnplatearbeid
Tyr,Tyrkisk
Tys,Tysk
T%C3%A5r,T%C3%A5rnkran
T%C3%B8m,T%C3%B8mrer+(AMO)
T%C3%B8m,T%C3%B8mrerarbeid
T%C3%B8m,T%C3%B8mring+og+trebehandling
T%C3%B8m,T%C3%B8mring+og+trebehandling+generelt
Uig,Uigurisk
Ukr,Ukrainsk
Uli,Ulike+yrkesrettede+fag+(AMO)
Umb,Umbundu%2FOvimbundu
Und,Underholdning
Und,Undervannsst%C3%B8ping
Und,Undervannssveising
Und,Undervisning
Und,Undervisning+(bransje)
Ung,Ungarsk
Uop,Uoppgitt+(bransje)
Urd,Urdu
Urm,Urmakerfaget+(AMO)
Urm,Urmakerforretning
Urm,Urmisk
Ute,Utemilj%C3%B8
Utl,Utleggermaskin
Utr,Utredning
Utt,Uttak+geologiske+pr%C3%B8ver
Uzb,Uzbekisk
V%2FG,V%2FG+kartsystem
VG1,VG1+Helse+og+sosialfag+til+sammen+25+uker
VG1,VG1+Service+og+samferdsel+til+sammen+19+uker
VG2,VG2+Helsefagarbeider+til+sammen+29+uker
VG2,VG2+IKT+-+servicefag+til+sammen+21+uker
VG2,VG2+Reiseliv+til+sammen+21+uker
VG2,VG2+salg+service+og+sikkerhet+til+sammen+21+uker
VKI,VKI+IKT+-+driftsfag
VKI,VKI+Omsorgsfag
VVS,VVS-isolering
Vak,Vakthold
Vak,Vakthold+generelt
Val,Valutahandel
Van,Vannforsyning+avl%C3%B8ps-+og+renovasjonsvirksomhet+(bransje)
Van,Vannkraft
Van,Vannkraftverk
Van,Vannverk
Var,Varehandel+reparasjon+av+motorvogner+(bransje)
Var,Varmeanlegg
Var,Varmeisolering
Vas,Vaskeri-+og+renseriarbeid
Vas,Vassdragsutbygging
Ved,Vedlikehold
Veg,Veganlegg
Veg,Vegetabilteknologi
Veg,Vegetarmat
Veg,Vegh%C3%B8vel
Veg,Vegmilj%C3%B8
Vei,Veiledning
Vek,Vekselspenning
Ver,Verdipapirer
Ver,Verftsindustri+(bransje)
Ver,Vernepleie
Vev,Veveteknikk
Vid,Videoredigering
Vie,Vietnamesisk
Vin,Vindusdekorering
Vin,Vindusvasking
Vin,Vinsjer
Vin,Vinterst%C3%B8p
Vis,Visesang
Vk1,Vk1+Hjelpepleier+(AMO)
Vk1,Vk1+salg+og+service+(AMO)
Vk2,Vk2+Hjelpeleier+(AMO)
Vul,Vulkanisering
V%C3%86r,V%C3%86relsesbetjening
Wal,Walisisk
Wol,Wollof
Wor,Word
Xho,Xhosa%2FIsixhosa
Yi%2F,Yi%2FLolo
Yor,Yoruba
Yrk,Yrkesfaglig+studiekompetanse
Yrk,Yrkeskompetanse+(vitnem%C3%A5l+best%C3%A5tt+av+VKII+alle+fag)
Zan,Zande%2FAzande
Zhu,Zhuang
Zul,Zulu
%C3%A0+l,%C3%A0+la+carte
%C3%A5rs,%C3%A5rsoppgj%C3%B8r
%C3%B8ko,%C3%B8kologisk+landbruk
%C3%B8ko,%C3%B8kologisk+landbruk+(AMO)
%C3%B8ko,%C3%B8konomi
%C3%B8ko,%C3%B8konomi+mm
%C3%B8ko,%C3%B8konomiarbeid
%C3%B8ko,%C3%B8konomisk+r%C3%A5dgiving
%C3%B8ko,%C3%B8konomiske+og+administrative+fag+(AMO)
%C3%B8ns,%C3%B8nsket+prosjekt
%C3%B8re,%C3%B8reakupunktur
%C3%B8vr,%C3%B8vrige+spr%C3%A5k